"Class","Class_fullname","Approach","Response_model_form","Response_model_index","Response_model_goal","Response_model_detail","Details","Stringency","Indicator_Type","Indicator","Threshold_value","Flag"
"RFI-N","Intermittent northern California","Response","SCAM","CSCI",0.61,"Additive model, 50% probability of attaining CSCI score above 0.61.","Additive model, 50% probability of attaining CSCI score above 0.61.","Intermediate","Eutrophication","Chl-a",197.6,""
"RFI-N","Intermittent northern California","Response","SCAM","CSCI",0.44,"Additive model, 50% probability of attaining CSCI score above 0.44.","Additive model, 50% probability of attaining CSCI score above 0.44.","Low","Eutrophication","Chl-a",,"No threshold identified"
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_D",0.91,"Additive model, 50% probability of attaining ASCI_D score above 0.91.","Additive model, 50% probability of attaining ASCI_D score above 0.91.","High","Eutrophication","Chl-a",4.2,""
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_D",0.8,"Additive model, 50% probability of attaining ASCI_D score above 0.8.","Additive model, 50% probability of attaining ASCI_D score above 0.8.","Intermediate","Eutrophication","Chl-a",41.7,""
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_D",0.66,"Additive model, 50% probability of attaining ASCI_D score above 0.66.","Additive model, 50% probability of attaining ASCI_D score above 0.66.","Low","Eutrophication","Chl-a",134.5,""
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_H",0.91,"Additive model, 50% probability of attaining ASCI_H score above 0.91.","Additive model, 50% probability of attaining ASCI_H score above 0.91.","High","Eutrophication","Chl-a",10.2,""
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_H",0.8,"Additive model, 50% probability of attaining ASCI_H score above 0.8.","Additive model, 50% probability of attaining ASCI_H score above 0.8.","Intermediate","Eutrophication","Chl-a",45,""
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_H",0.65,"Additive model, 50% probability of attaining ASCI_H score above 0.65.","Additive model, 50% probability of attaining ASCI_H score above 0.65.","Low","Eutrophication","Chl-a",,"No threshold identified"
"RFI-S","Intermittent southern California","Response","SCAM","CSCI",0.89,"Additive model, 50% probability of attaining CSCI score above 0.89.","Additive model, 50% probability of attaining CSCI score above 0.89.","High","Eutrophication","Chl-a",18.3,""
"RFI-S","Intermittent southern California","Response","SCAM","CSCI",0.82,"Additive model, 50% probability of attaining CSCI score above 0.82.","Additive model, 50% probability of attaining CSCI score above 0.82.","Intermediate","Eutrophication","Chl-a",39.9,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-S","Intermittent southern California","Response","SCAM","CSCI",0.71,"Additive model, 50% probability of attaining CSCI score above 0.71.","Additive model, 50% probability of attaining CSCI score above 0.71.","Low","Eutrophication","Chl-a",88.6,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_D",1.13,"Additive model, 50% probability of attaining ASCI_D score above 1.13.","Additive model, 50% probability of attaining ASCI_D score above 1.13.","High","Eutrophication","Chl-a",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_D",1.02,"Additive model, 50% probability of attaining ASCI_D score above 1.02.","Additive model, 50% probability of attaining ASCI_D score above 1.02.","Intermediate","Eutrophication","Chl-a",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_D",0.92,"Additive model, 50% probability of attaining ASCI_D score above 0.92.","Additive model, 50% probability of attaining ASCI_D score above 0.92.","Low","Eutrophication","Chl-a",1.2,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_H",1.05,"Additive model, 50% probability of attaining ASCI_H score above 1.05.","Additive model, 50% probability of attaining ASCI_H score above 1.05.","High","Eutrophication","Chl-a",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_H",0.94,"Additive model, 50% probability of attaining ASCI_H score above 0.94.","Additive model, 50% probability of attaining ASCI_H score above 0.94.","Intermediate","Eutrophication","Chl-a",2.4,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_H",0.8,"Additive model, 50% probability of attaining ASCI_H score above 0.8.","Additive model, 50% probability of attaining ASCI_H score above 0.8.","Low","Eutrophication","Chl-a",45,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","CSCI",0.85,"Additive model, 50% probability of attaining CSCI score above 0.85.","Additive model, 50% probability of attaining CSCI score above 0.85.","High","Eutrophication","Chl-a",30,""
"CVF","Central Valley Floor","Response","SCAM","CSCI",0.67,"Additive model, 50% probability of attaining CSCI score above 0.67.","Additive model, 50% probability of attaining CSCI score above 0.67.","Intermediate","Eutrophication","Chl-a",116.2,""
"CVF","Central Valley Floor","Response","SCAM","CSCI",0.52,"Additive model, 50% probability of attaining CSCI score above 0.52.","Additive model, 50% probability of attaining CSCI score above 0.52.","Low","Eutrophication","Chl-a",,"No threshold identified"
"HB","Hard bottom","Response","SCAM","ASCI_D",1.05,"Additive model, 50% probability of attaining ASCI_D score above 1.05.","Additive model, 50% probability of attaining ASCI_D score above 1.05.","High","Eutrophication","Chl-a",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Hard bottom","Response","SCAM","ASCI_D",0.88,"Additive model, 50% probability of attaining ASCI_D score above 0.88.","Additive model, 50% probability of attaining ASCI_D score above 0.88.","Intermediate","Eutrophication","Chl-a",13.2,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Hard bottom","Response","SCAM","ASCI_D",0.74,"Additive model, 50% probability of attaining ASCI_D score above 0.74.","Additive model, 50% probability of attaining ASCI_D score above 0.74.","Low","Eutrophication","Chl-a",70.3,""
"HB","Hard bottom","Response","SCAM","ASCI_H",1.02,"Additive model, 50% probability of attaining ASCI_H score above 1.02.","Additive model, 50% probability of attaining ASCI_H score above 1.02.","High","Eutrophication","Chl-a",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Hard bottom","Response","SCAM","ASCI_H",0.87,"Additive model, 50% probability of attaining ASCI_H score above 0.87.","Additive model, 50% probability of attaining ASCI_H score above 0.87.","Intermediate","Eutrophication","Chl-a",21.3,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Hard bottom","Response","SCAM","ASCI_H",0.74,"Additive model, 50% probability of attaining ASCI_H score above 0.74.","Additive model, 50% probability of attaining ASCI_H score above 0.74.","Low","Eutrophication","Chl-a",73.9,""
"HB","Hard bottom","Response","SCAM","CSCI",0.74,"Additive model, 50% probability of attaining CSCI score above 0.74.","Additive model, 50% probability of attaining CSCI score above 0.74.","High","Eutrophication","Chl-a",72.7,""
"HB","Hard bottom","Response","SCAM","CSCI",0.67,"Additive model, 50% probability of attaining CSCI score above 0.67.","Additive model, 50% probability of attaining CSCI score above 0.67.","Intermediate","Eutrophication","Chl-a",116.2,""
"HB","Hard bottom","Response","SCAM","CSCI",0.55,"Additive model, 50% probability of attaining CSCI score above 0.55.","Additive model, 50% probability of attaining CSCI score above 0.55.","Low","Eutrophication","Chl-a",,"No threshold identified"
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_D",0.93,"Additive model, 50% probability of attaining ASCI_D score above 0.93.","Additive model, 50% probability of attaining ASCI_D score above 0.93.","High","Eutrophication","Chl-a",,"No threshold identified"
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_D",0.77,"Additive model, 50% probability of attaining ASCI_D score above 0.77.","Additive model, 50% probability of attaining ASCI_D score above 0.77.","Intermediate","Eutrophication","Chl-a",55,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_D",0.64,"Additive model, 50% probability of attaining ASCI_D score above 0.64.","Additive model, 50% probability of attaining ASCI_D score above 0.64.","Low","Eutrophication","Chl-a",166.1,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_H",0.88,"Additive model, 50% probability of attaining ASCI_H score above 0.88.","Additive model, 50% probability of attaining ASCI_H score above 0.88.","High","Eutrophication","Chl-a",18.3,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_H",0.76,"Additive model, 50% probability of attaining ASCI_H score above 0.76.","Additive model, 50% probability of attaining ASCI_H score above 0.76.","Intermediate","Eutrophication","Chl-a",63.1,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_H",0.6,"Additive model, 50% probability of attaining ASCI_H score above 0.6.","Additive model, 50% probability of attaining ASCI_H score above 0.6.","Low","Eutrophication","Chl-a",,"No threshold identified"
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","CSCI",0.96,"Additive model, 50% probability of attaining CSCI score above 0.96.","Additive model, 50% probability of attaining CSCI score above 0.96.","High","Eutrophication","Chl-a",0,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","CSCI",0.75,"Additive model, 50% probability of attaining CSCI score above 0.75.","Additive model, 50% probability of attaining CSCI score above 0.75.","Intermediate","Eutrophication","Chl-a",67.9,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","CSCI",0.64,"Additive model, 50% probability of attaining CSCI score above 0.64.","Additive model, 50% probability of attaining CSCI score above 0.64.","Low","Eutrophication","Chl-a",146.5,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_D",1.01,"Additive model, 50% probability of attaining ASCI_D score above 1.01.","Additive model, 50% probability of attaining ASCI_D score above 1.01.","High","Eutrophication","Chl-a",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_D",0.85,"Additive model, 50% probability of attaining ASCI_D score above 0.85.","Additive model, 50% probability of attaining ASCI_D score above 0.85.","Intermediate","Eutrophication","Chl-a",23.1,""
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_D",0.68,"Additive model, 50% probability of attaining ASCI_D score above 0.68.","Additive model, 50% probability of attaining ASCI_D score above 0.68.","Low","Eutrophication","Chl-a",112.6,""
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_H",0.97,"Additive model, 50% probability of attaining ASCI_H score above 0.97.","Additive model, 50% probability of attaining ASCI_H score above 0.97.","High","Eutrophication","Chl-a",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_H",0.86,"Additive model, 50% probability of attaining ASCI_H score above 0.86.","Additive model, 50% probability of attaining ASCI_H score above 0.86.","Intermediate","Eutrophication","Chl-a",24.3,""
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_H",0.67,"Additive model, 50% probability of attaining ASCI_H score above 0.67.","Additive model, 50% probability of attaining ASCI_H score above 0.67.","Low","Eutrophication","Chl-a",152.6,""
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","CSCI",1.1,"Additive model, 50% probability of attaining CSCI score above 1.1.","Additive model, 50% probability of attaining CSCI score above 1.1.","High","Eutrophication","Chl-a",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","CSCI",1,"Additive model, 50% probability of attaining CSCI score above 1.","Additive model, 50% probability of attaining CSCI score above 1.","Intermediate","Eutrophication","Chl-a",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","CSCI",0.81,"Additive model, 50% probability of attaining CSCI score above 0.81.","Additive model, 50% probability of attaining CSCI score above 0.81.","Low","Eutrophication","Chl-a",43.5,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_D",1.01,"Additive model, 50% probability of attaining ASCI_D score above 1.01.","Additive model, 50% probability of attaining ASCI_D score above 1.01.","High","Eutrophication","Chl-a",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_D",0.77,"Additive model, 50% probability of attaining ASCI_D score above 0.77.","Additive model, 50% probability of attaining ASCI_D score above 0.77.","Intermediate","Eutrophication","Chl-a",55,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_D",0.68,"Additive model, 50% probability of attaining ASCI_D score above 0.68.","Additive model, 50% probability of attaining ASCI_D score above 0.68.","Low","Eutrophication","Chl-a",112.6,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_H",0.94,"Additive model, 50% probability of attaining ASCI_H score above 0.94.","Additive model, 50% probability of attaining ASCI_H score above 0.94.","High","Eutrophication","Chl-a",2.4,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_H",0.79,"Additive model, 50% probability of attaining ASCI_H score above 0.79.","Additive model, 50% probability of attaining ASCI_H score above 0.79.","Intermediate","Eutrophication","Chl-a",49.2,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_H",0.64,"Additive model, 50% probability of attaining ASCI_H score above 0.64.","Additive model, 50% probability of attaining ASCI_H score above 0.64.","Low","Eutrophication","Chl-a",,"No threshold identified"
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","CSCI",0.99,"Additive model, 50% probability of attaining CSCI score above 0.99.","Additive model, 50% probability of attaining CSCI score above 0.99.","High","Eutrophication","Chl-a",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","CSCI",0.78,"Additive model, 50% probability of attaining CSCI score above 0.78.","Additive model, 50% probability of attaining CSCI score above 0.78.","Intermediate","Eutrophication","Chl-a",55,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","CSCI",0.66,"Additive model, 50% probability of attaining CSCI score above 0.66.","Additive model, 50% probability of attaining CSCI score above 0.66.","Low","Eutrophication","Chl-a",124.9,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CC","Constructed channel","Response","SCAM","ASCI_D",,"Additive model, 50% probability of attaining ASCI_D score above NA.","Additive model, 50% probability of attaining ASCI_D score above NA.","High","Eutrophication","Chl-a",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","ASCI_D",,"Additive model, 50% probability of attaining ASCI_D score above NA.","Additive model, 50% probability of attaining ASCI_D score above NA.","Intermediate","Eutrophication","Chl-a",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","ASCI_D",,"Additive model, 50% probability of attaining ASCI_D score above NA.","Additive model, 50% probability of attaining ASCI_D score above NA.","Low","Eutrophication","Chl-a",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","ASCI_H",,"Additive model, 50% probability of attaining ASCI_H score above NA.","Additive model, 50% probability of attaining ASCI_H score above NA.","High","Eutrophication","Chl-a",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","ASCI_H",,"Additive model, 50% probability of attaining ASCI_H score above NA.","Additive model, 50% probability of attaining ASCI_H score above NA.","Intermediate","Eutrophication","Chl-a",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","ASCI_H",,"Additive model, 50% probability of attaining ASCI_H score above NA.","Additive model, 50% probability of attaining ASCI_H score above NA.","Low","Eutrophication","Chl-a",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","CSCI",0.53,"Additive model, 50% probability of attaining CSCI score above 0.53.","Additive model, 50% probability of attaining CSCI score above 0.53.","High","Eutrophication","Chl-a",,"No threshold identified"
"CC","Constructed channel","Response","SCAM","CSCI",0.45,"Additive model, 50% probability of attaining CSCI score above 0.45.","Additive model, 50% probability of attaining CSCI score above 0.45.","Intermediate","Eutrophication","Chl-a",,"No threshold identified"
"CC","Constructed channel","Response","SCAM","CSCI",0.37,"Additive model, 50% probability of attaining CSCI score above 0.37.","Additive model, 50% probability of attaining CSCI score above 0.37.","Low","Eutrophication","Chl-a",,"No threshold identified"
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_D",0.94,"Additive model, 50% probability of attaining ASCI_D score above 0.94.","Additive model, 50% probability of attaining ASCI_D score above 0.94.","High","Eutrophication","AFDM",,"No threshold identified"
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_D",0.86,"Additive model, 50% probability of attaining ASCI_D score above 0.86.","Additive model, 50% probability of attaining ASCI_D score above 0.86.","Intermediate","Eutrophication","AFDM",15.2,""
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_D",0.75,"Additive model, 50% probability of attaining ASCI_D score above 0.75.","Additive model, 50% probability of attaining ASCI_D score above 0.75.","Low","Eutrophication","AFDM",48,""
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_H",0.94,"Additive model, 50% probability of attaining ASCI_H score above 0.94.","Additive model, 50% probability of attaining ASCI_H score above 0.94.","High","Eutrophication","AFDM",3.6,""
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_H",0.86,"Additive model, 50% probability of attaining ASCI_H score above 0.86.","Additive model, 50% probability of attaining ASCI_H score above 0.86.","Intermediate","Eutrophication","AFDM",17.6,""
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_H",0.75,"Additive model, 50% probability of attaining ASCI_H score above 0.75.","Additive model, 50% probability of attaining ASCI_H score above 0.75.","Low","Eutrophication","AFDM",52.9,""
"Wadeable streams","Wadeable streams","Response","SCAM","CSCI",0.92,"Additive model, 50% probability of attaining CSCI score above 0.92.","Additive model, 50% probability of attaining CSCI score above 0.92.","High","Eutrophication","AFDM",7.6,""
"Wadeable streams","Wadeable streams","Response","SCAM","CSCI",0.79,"Additive model, 50% probability of attaining CSCI score above 0.79.","Additive model, 50% probability of attaining CSCI score above 0.79.","Intermediate","Eutrophication","AFDM",37.2,""
"Wadeable streams","Wadeable streams","Response","SCAM","CSCI",0.63,"Additive model, 50% probability of attaining CSCI score above 0.63.","Additive model, 50% probability of attaining CSCI score above 0.63.","Low","Eutrophication","AFDM",197.8,""
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_D",0.99,"Additive model, 50% probability of attaining ASCI_D score above 0.99.","Additive model, 50% probability of attaining ASCI_D score above 0.99.","High","Eutrophication","AFDM",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_D",0.91,"Additive model, 50% probability of attaining ASCI_D score above 0.91.","Additive model, 50% probability of attaining ASCI_D score above 0.91.","Intermediate","Eutrophication","AFDM",4.4,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_D",0.79,"Additive model, 50% probability of attaining ASCI_D score above 0.79.","Additive model, 50% probability of attaining ASCI_D score above 0.79.","Low","Eutrophication","AFDM",34,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_H",0.97,"Additive model, 50% probability of attaining ASCI_H score above 0.97.","Additive model, 50% probability of attaining ASCI_H score above 0.97.","High","Eutrophication","AFDM",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_H",0.9,"Additive model, 50% probability of attaining ASCI_H score above 0.9.","Additive model, 50% probability of attaining ASCI_H score above 0.9.","Intermediate","Eutrophication","AFDM",10,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_H",0.81,"Additive model, 50% probability of attaining ASCI_H score above 0.81.","Additive model, 50% probability of attaining ASCI_H score above 0.81.","Low","Eutrophication","AFDM",29.6,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","CSCI",0.74,"Additive model, 50% probability of attaining CSCI score above 0.74.","Additive model, 50% probability of attaining CSCI score above 0.74.","High","Eutrophication","AFDM",62.5,""
"RFI-N","Intermittent northern California","Response","SCAM","CSCI",0.61,"Additive model, 50% probability of attaining CSCI score above 0.61.","Additive model, 50% probability of attaining CSCI score above 0.61.","Intermediate","Eutrophication","AFDM",226.2,""
"RFI-N","Intermittent northern California","Response","SCAM","CSCI",0.44,"Additive model, 50% probability of attaining CSCI score above 0.44.","Additive model, 50% probability of attaining CSCI score above 0.44.","Low","Eutrophication","AFDM",,"No threshold identified"
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_D",0.91,"Additive model, 50% probability of attaining ASCI_D score above 0.91.","Additive model, 50% probability of attaining ASCI_D score above 0.91.","High","Eutrophication","AFDM",4.4,""
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_D",0.8,"Additive model, 50% probability of attaining ASCI_D score above 0.8.","Additive model, 50% probability of attaining ASCI_D score above 0.8.","Intermediate","Eutrophication","AFDM",30.8,""
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_D",0.66,"Additive model, 50% probability of attaining ASCI_D score above 0.66.","Additive model, 50% probability of attaining ASCI_D score above 0.66.","Low","Eutrophication","AFDM",127.3,""
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_H",0.91,"Additive model, 50% probability of attaining ASCI_H score above 0.91.","Additive model, 50% probability of attaining ASCI_H score above 0.91.","High","Eutrophication","AFDM",8.4,""
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_H",0.8,"Additive model, 50% probability of attaining ASCI_H score above 0.8.","Additive model, 50% probability of attaining ASCI_H score above 0.8.","Intermediate","Eutrophication","AFDM",32.4,""
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_H",0.65,"Additive model, 50% probability of attaining ASCI_H score above 0.65.","Additive model, 50% probability of attaining ASCI_H score above 0.65.","Low","Eutrophication","AFDM",257.9,""
"RFI-S","Intermittent southern California","Response","SCAM","CSCI",0.89,"Additive model, 50% probability of attaining CSCI score above 0.89.","Additive model, 50% probability of attaining CSCI score above 0.89.","High","Eutrophication","AFDM",12.8,""
"RFI-S","Intermittent southern California","Response","SCAM","CSCI",0.82,"Additive model, 50% probability of attaining CSCI score above 0.82.","Additive model, 50% probability of attaining CSCI score above 0.82.","Intermediate","Eutrophication","AFDM",28,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-S","Intermittent southern California","Response","SCAM","CSCI",0.71,"Additive model, 50% probability of attaining CSCI score above 0.71.","Additive model, 50% probability of attaining CSCI score above 0.71.","Low","Eutrophication","AFDM",88.5,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_D",1.13,"Additive model, 50% probability of attaining ASCI_D score above 1.13.","Additive model, 50% probability of attaining ASCI_D score above 1.13.","High","Eutrophication","AFDM",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_D",1.02,"Additive model, 50% probability of attaining ASCI_D score above 1.02.","Additive model, 50% probability of attaining ASCI_D score above 1.02.","Intermediate","Eutrophication","AFDM",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_D",0.92,"Additive model, 50% probability of attaining ASCI_D score above 0.92.","Additive model, 50% probability of attaining ASCI_D score above 0.92.","Low","Eutrophication","AFDM",2.4,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_H",1.05,"Additive model, 50% probability of attaining ASCI_H score above 1.05.","Additive model, 50% probability of attaining ASCI_H score above 1.05.","High","Eutrophication","AFDM",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_H",0.94,"Additive model, 50% probability of attaining ASCI_H score above 0.94.","Additive model, 50% probability of attaining ASCI_H score above 0.94.","Intermediate","Eutrophication","AFDM",3.6,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_H",0.8,"Additive model, 50% probability of attaining ASCI_H score above 0.8.","Additive model, 50% probability of attaining ASCI_H score above 0.8.","Low","Eutrophication","AFDM",32.4,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","CSCI",0.85,"Additive model, 50% probability of attaining CSCI score above 0.85.","Additive model, 50% probability of attaining CSCI score above 0.85.","High","Eutrophication","AFDM",20.8,""
"CVF","Central Valley Floor","Response","SCAM","CSCI",0.67,"Additive model, 50% probability of attaining CSCI score above 0.67.","Additive model, 50% probability of attaining CSCI score above 0.67.","Intermediate","Eutrophication","AFDM",139.7,""
"CVF","Central Valley Floor","Response","SCAM","CSCI",0.52,"Additive model, 50% probability of attaining CSCI score above 0.52.","Additive model, 50% probability of attaining CSCI score above 0.52.","Low","Eutrophication","AFDM",348.3,""
"HB","Hard bottom","Response","SCAM","ASCI_D",1.05,"Additive model, 50% probability of attaining ASCI_D score above 1.05.","Additive model, 50% probability of attaining ASCI_D score above 1.05.","High","Eutrophication","AFDM",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Hard bottom","Response","SCAM","ASCI_D",0.88,"Additive model, 50% probability of attaining ASCI_D score above 0.88.","Additive model, 50% probability of attaining ASCI_D score above 0.88.","Intermediate","Eutrophication","AFDM",10.8,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Hard bottom","Response","SCAM","ASCI_D",0.74,"Additive model, 50% probability of attaining ASCI_D score above 0.74.","Additive model, 50% probability of attaining ASCI_D score above 0.74.","Low","Eutrophication","AFDM",52.5,""
"HB","Hard bottom","Response","SCAM","ASCI_H",1.02,"Additive model, 50% probability of attaining ASCI_H score above 1.02.","Additive model, 50% probability of attaining ASCI_H score above 1.02.","High","Eutrophication","AFDM",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Hard bottom","Response","SCAM","ASCI_H",0.87,"Additive model, 50% probability of attaining ASCI_H score above 0.87.","Additive model, 50% probability of attaining ASCI_H score above 0.87.","Intermediate","Eutrophication","AFDM",15.6,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Hard bottom","Response","SCAM","ASCI_H",0.74,"Additive model, 50% probability of attaining ASCI_H score above 0.74.","Additive model, 50% probability of attaining ASCI_H score above 0.74.","Low","Eutrophication","AFDM",58.9,""
"HB","Hard bottom","Response","SCAM","CSCI",0.74,"Additive model, 50% probability of attaining CSCI score above 0.74.","Additive model, 50% probability of attaining CSCI score above 0.74.","High","Eutrophication","AFDM",62.5,""
"HB","Hard bottom","Response","SCAM","CSCI",0.67,"Additive model, 50% probability of attaining CSCI score above 0.67.","Additive model, 50% probability of attaining CSCI score above 0.67.","Intermediate","Eutrophication","AFDM",139.7,""
"HB","Hard bottom","Response","SCAM","CSCI",0.55,"Additive model, 50% probability of attaining CSCI score above 0.55.","Additive model, 50% probability of attaining CSCI score above 0.55.","Low","Eutrophication","AFDM",308.7,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_D",0.93,"Additive model, 50% probability of attaining ASCI_D score above 0.93.","Additive model, 50% probability of attaining ASCI_D score above 0.93.","High","Eutrophication","AFDM",0.4,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_D",0.77,"Additive model, 50% probability of attaining ASCI_D score above 0.77.","Additive model, 50% probability of attaining ASCI_D score above 0.77.","Intermediate","Eutrophication","AFDM",40.4,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_D",0.64,"Additive model, 50% probability of attaining ASCI_D score above 0.64.","Additive model, 50% probability of attaining ASCI_D score above 0.64.","Low","Eutrophication","AFDM",171,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_H",0.88,"Additive model, 50% probability of attaining ASCI_H score above 0.88.","Additive model, 50% probability of attaining ASCI_H score above 0.88.","High","Eutrophication","AFDM",13.6,""
